electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.687,6.15,6.9,0.1
0.85,9.0,5.6,0.1
0.687,9.0,5.5874,0.1
0.687,9.0,5.5837,0.1
2.95,9.0,5.5785,1.3
3.039,9.0,5.5876,3.039
6.15,6.9,5.5822,5.97
9.0,5.6,5.385,9.0
9.0,5.5874,4.3,9.0
9.0,5.5837,4.45,9.0
9.0,5.5785,3.039,9.0
9.0,5.5876,3.04,9.0
6.9,5.5822,0.1,6.9
5.6,5.385,0.1,5.6
5.5874,4.3,0.1,5.5
5.5837,4.45,0.1,1.75
5.5785,3.039,1.3,1.111
5.5876,3.04,3.039,1.31
5.5822,0.1,5.97,4.34
5.385,0.1,9.0,5.0279
4.3,0.1,9.0,6.6647
4.45,0.1,9.0,4.68
3.039,1.3,9.0,3.039
3.04,3.039,9.0,1.3
0.1,5.97,6.9,0.09
0.1,9.0,5.6,0.09
0.1,9.0,5.5,0.09
0.1,9.0,1.75,0.405
1.3,9.0,1.111,3.02
3.039,9.0,1.31,4.35
5.97,6.9,4.34,8.9533
9.0,5.6,5.0279,9.0
9.0,5.5,6.6647,9.0
9.0,1.75,4.68,9.0
9.0,1.111,3.039,9.0
9.0,1.31,1.3,9.0
6.9,4.34,0.09,6.9
5.6,5.0279,0.09,5.6
5.5,6.6647,0.09,5.555
1.75,4.68,0.405,5.583
1.111,3.039,3.02,5.5619
1.31,1.3,4.35,5.481
4.34,0.09,8.9533,5.481
5.0279,0.09,9.0,5.6
6.6647,0.09,9.0,6.9
4.68,0.405,9.0,6.9
3.039,3.02,9.0,4.5
1.3,4.35,9.0,4.5
0.09,8.9533,6.9,0.1
0.09,9.0,5.6,0.07
0.09,9.0,5.555,0.1
0.405,9.0,5.583,2.984
3.02,9.0,5.5619,4.349
4.35,9.0,5.481,5.55
8.9533,6.9,5.481,9.0
9.0,5.6,5.6,9.0
9.0,5.555,6.9,9.0
9.0,5.583,6.9,9.0
9.0,5.5619,4.5,9.0
9.0,5.481,4.5,9.0
6.9,5.481,0.1,6.9
5.6,5.6,0.07,5.6
5.555,6.9,0.1,5.5922
5.583,6.9,2.984,5.5858
5.5619,4.5,4.349,5.373
5.481,4.5,5.55,5.1253
5.481,0.1,9.0,5.45
5.6,0.07,9.0,5.6
6.9,0.1,9.0,6.9
6.9,2.984,9.0,6.9
4.5,4.349,9.0,6.9
